year,burglary_cases,theft_cases,robbery_cases,murder_cases,delhi_per_capita_income_current_rs,delhi_per_capita_income_constant_rs,per_capita_income,burglary_pct_change,income_pct_change,theft_pct_change,robbery_pct_change,murder_pct_change,unemployment_rate,population,burglary_rate,unemployment_pct_change,burglary_elasticity_unemployment
2018,4117,188756,2444,513,338730,257597,257597,,,,,,10.4,19560000,21.0480572597137,,
2019,3026,239719,1956,521,355798,260559,260559,-26.499878552343937,1.1498581117016071,26.999406641378275,-19.967266775777414,1.5594541910331383,8.6,19930000,15.18314099347717,-17.307692307692314,1.5311040941354268
2020,2199,169474,1963,472,322311,228162,228162,-27.32980832782551,-12.433652263019123,-29.30305899824378,0.35787321063394106,-9.404990403071011,6.3,20310000,10.827178729689807,-26.74418604651163,1.0218971809534756
2021,2637,190598,2333,459,370824,239821,239821,19.918144611186904,5.109965726106891,12.46444882400841,18.848700967906275,-2.754237288135597,5.3,20700000,12.739130434782608,-15.873015873015872,-1.254843110504775
