financial_year,delhi_per_capita_income_current_rs,delhi_per_capita_income_constant_rs,source
2018-19,338730,257597,Delhi Economic Survey 2025-26
2019-20,355798,260559,Delhi Economic Survey 2025-26
2020-21,322311,228162,Delhi Economic Survey 2025-26
2021-22,370824,239821,Delhi Economic Survey 2025-26
2022-23,417207,252930,Delhi Economic Survey 2025-26
2023-24,457708,272950,Delhi Economic Survey 2025-26
2024-25,492592,285207,Delhi Economic Survey 2025-26
2025-26,531610,305433,Delhi Economic Survey 2025-26
